,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
104,Tasiilaq,92,GL,1528419000,93,65.61,-37.64,35.6,10.29
105,Tasiilaq,92,GL,1528419000,93,65.61,-37.64,35.6,10.29
106,Punta Arenas,90,CL,1528419600,69,-53.16,-70.91,39.2,12.75
107,Cherskiy,88,RU,1528421993,71,68.75,161.3,42.94,5.97
108,Ostrovnoy,68,RU,1528422122,100,68.05,39.51,37.54,10.0
109,Lazarev,12,RU,1528422122,64,52.23,141.51,50.41,13.24
110,Port Hardy,90,CA,1528419600,87,50.7,-127.42,53.6,4.7
111,Keningau,90,MY,1528419600,74,5.33,116.16,84.2,2.24
112,Tungor,0,RU,1528422123,68,53.39,142.95,52.12,14.36
113,Sao Filipe,0,CV,1528421275,93,14.9,-24.5,74.87,8.72
114,Hamilton,40,CA,1528419600,59,43.26,-79.87,69.8,5.82
115,Yellowknife,75,CA,1528419600,44,62.45,-114.38,60.8,11.41
116,Providencia,20,CO,1528422124,91,1.24,-77.6,50.05,2.39
117,Tabas,0,IR,1528422124,19,33.6,56.92,78.22,2.73
118,Kolokani,68,ML,1528422125,53,13.58,-8.03,80.29,10.78
119,Busselton,92,AU,1528421242,100,-33.64,115.35,56.42,4.7
120,Kapaa,75,US,1528419360,83,22.08,-159.32,78.8,12.75
121,Puerto Colombia,75,CO,1528419600,83,10.99,-74.96,82.4,6.93
122,Bluff,24,AU,1528421241,64,-23.58,149.07,67.67,12.64
123,Airai,8,TL,1528421238,80,-8.93,125.41,71.18,2.13
124,Port Elizabeth,1,US,1528419360,77,39.31,-74.98,69.8,3.36
125,Salisbury,68,GB,1528419360,82,51.07,-1.8,60.8,6.93
126,Tuktoyaktuk,75,CA,1528419600,100,69.44,-133.03,37.4,12.75
127,Atuona,0,PF,1528421285,100,-9.8,-139.03,80.27,10.51
128,Yelizovo,75,RU,1528419600,75,53.19,158.38,44.6,8.95
129,Jamestown,92,AU,1528421264,47,-33.21,138.6,58.67,7.49
130,Makakilo City,90,US,1528419420,61,21.35,-158.09,84.2,9.17
131,Cidreira,0,BR,1528422128,78,-30.17,-50.22,50.68,16.6
132,Yulara,90,AU,1528419600,19,-25.24,130.99,68.0,8.05
133,Evensk,76,RU,1528422073,74,61.92,159.24,48.88,5.19
134,Kodiak,1,US,1528419180,69,39.95,-94.76,82.4,4.7
135,Nanortalik,36,GL,1528422129,97,60.14,-45.24,34.84,5.41
136,Hobart,40,AU,1528419600,44,-42.88,147.33,60.8,25.28
137,Nikolskoye,40,RU,1528419600,75,59.7,30.79,46.4,11.18
138,Hermanus,76,ZA,1528421239,95,-34.42,19.24,48.68,2.57
139,Hermanus,76,ZA,1528421239,95,-34.42,19.24,48.68,2.57
140,Hobart,40,AU,1528419600,44,-42.88,147.33,60.8,25.28
141,Mataura,12,NZ,1528421240,100,-46.19,168.86,40.67,4.7
142,Tarakan,44,ID,1528422131,97,3.3,117.63,83.53,2.62
143,Sinjar,0,SY,1528422131,64,35.59,37.0,66.88,5.19
144,Esperance,0,TT,1528419600,83,10.24,-61.45,77.0,5.82
145,Nikolskoye,40,RU,1528419600,75,59.7,30.79,46.4,11.18
146,Cape Town,80,ZA,1528421069,100,-33.93,18.42,57.68,6.04
147,Ribeira Grande,0,PT,1528421322,100,38.52,-28.7,64.7,9.28
148,Leeton,92,AU,1528422132,92,-34.55,146.4,54.73,10.0
149,Senj,80,HR,1528421400,88,45.35,13.91,68.0,8.05
150,Grindavik,75,IS,1528419600,93,63.84,-22.43,48.2,10.29
151,Yulara,90,AU,1528419600,19,-25.24,130.99,68.0,8.05
152,Jieshou,12,CN,1528422134,60,33.26,115.35,89.47,6.98
153,Khatanga,0,RU,1528421261,64,71.98,102.47,63.35,15.66
154,Riohacha,24,CO,1528422134,81,11.54,-72.91,84.79,18.16
155,Bilma,0,NE,1528421253,22,18.69,12.92,77.48,3.13
156,Kapaa,75,US,1528419360,83,22.08,-159.32,78.8,12.75
157,Kosum Phisai,75,TH,1528419600,83,16.25,103.07,80.6,4.7
158,Albany,20,US,1528419300,60,42.65,-73.75,69.8,5.82
159,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
160,Kodiak,1,US,1528419180,69,39.95,-94.76,82.4,4.7
161,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
162,Avarua,75,CK,1528419600,78,-21.21,-159.78,80.6,8.05
163,Jamestown,92,AU,1528421264,47,-33.21,138.6,58.67,7.49
164,Cherskiy,88,RU,1528421993,71,68.75,161.3,42.94,5.97
165,Qaanaaq,0,GL,1528421050,96,77.48,-69.36,28.25,6.49
166,Busselton,92,AU,1528421242,100,-33.64,115.35,56.42,4.7
167,Touros,92,BR,1528422137,94,-5.2,-35.46,77.77,10.56
168,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
169,Shelburne,0,CA,1528419600,77,44.08,-80.2,69.8,3.36
170,Longyearbyen,75,NO,1528419000,69,78.22,15.63,35.6,18.34
171,Gallipoli,0,IT,1528420800,94,40.06,18.0,71.6,2.24
172,Vaini,92,IN,1528421258,99,15.34,74.49,70.37,3.69
173,Vaini,92,IN,1528421258,99,15.34,74.49,70.37,3.69
174,Upernavik,92,GL,1528421250,90,72.79,-56.15,32.93,9.84
175,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
176,Upernavik,92,GL,1528421250,90,72.79,-56.15,32.93,9.84
177,Busselton,92,AU,1528421242,100,-33.64,115.35,56.42,4.7
178,Jamestown,92,AU,1528421264,47,-33.21,138.6,58.67,7.49
179,Albany,20,US,1528419300,60,42.65,-73.75,69.8,5.82
180,Bredasdorp,88,ZA,1528421243,99,-34.53,20.04,57.41,1.23
181,Lebu,76,ET,1528421265,96,8.96,38.73,50.93,2.8
182,Pueblo,75,US,1528419480,41,38.25,-104.61,75.2,36.91
183,Cape Town,80,ZA,1528421069,100,-33.93,18.42,57.68,6.04
184,Atuona,0,PF,1528421285,100,-9.8,-139.03,80.27,10.51
185,Champerico,75,MX,1528418700,74,16.38,-93.6,80.6,8.05
186,Saint Simons,1,US,1528419300,74,31.14,-81.39,80.6,6.93
187,Neepawa,75,CA,1528419600,44,50.23,-99.46,77.0,6.93
188,Vao,92,EE,1528422143,68,59.1,26.19,50.86,9.22
189,Bluff,24,AU,1528421241,64,-23.58,149.07,67.67,12.64
190,Hilo,90,US,1528419360,78,19.71,-155.08,78.8,8.05
191,Bluff,24,AU,1528421241,64,-23.58,149.07,67.67,12.64
192,Cidreira,0,BR,1528422128,78,-30.17,-50.22,50.68,16.6
193,New Norfolk,40,AU,1528419600,44,-42.78,147.06,60.8,25.28
194,Cenade,0,RO,1528421400,93,46.06,24.01,59.0,3.36
195,Provideniya,75,RU,1528419600,80,64.42,-173.23,41.0,8.95
196,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
197,Qaanaaq,0,GL,1528421050,96,77.48,-69.36,28.25,6.49
198,Mandalgovi,92,MN,1528422145,36,45.76,106.27,67.96,6.42
199,Victoria,90,BN,1528417800,94,5.28,115.24,82.4,3.36
200,Lebu,76,ET,1528421265,96,8.96,38.73,50.93,2.8
201,Harstad,88,NO,1528420800,86,68.8,16.53,41.0,2.24
202,Rongai,92,KE,1528422146,98,-0.17,35.86,55.81,2.62
203,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
204,Ribeira Grande,0,PT,1528421322,100,38.52,-28.7,64.7,9.28
205,Atuona,0,PF,1528421285,100,-9.8,-139.03,80.27,10.51
206,Matara,0,PE,1528422147,74,-13.74,-72.9,28.81,1.95
207,Bluff,24,AU,1528421241,64,-23.58,149.07,67.67,12.64
208,Ferrol,0,ES,1528419600,93,43.48,-8.23,55.4,2.24
209,Vaini,92,IN,1528421258,99,15.34,74.49,70.37,3.69
210,Constitucion,40,MX,1528418520,10,23.99,-104.67,86.0,12.75
211,Itoman,75,JP,1528419600,66,26.12,127.67,86.0,11.41
212,Busselton,92,AU,1528421242,100,-33.64,115.35,56.42,4.7
213,Vaini,92,IN,1528421258,99,15.34,74.49,70.37,3.69
214,East London,12,ZA,1528421359,100,-33.02,27.91,67.49,15.99
215,Barrow,0,AR,1528420997,63,-38.31,-60.23,41.12,11.86
216,Inuvik,40,CA,1528419600,43,68.36,-133.71,51.8,11.41
217,Alofi,68,NU,1528421323,96,-19.06,-169.92,80.81,13.87
218,Tura,20,IN,1528421343,96,25.52,90.21,76.4,4.25
219,Thika,75,KE,1528419600,93,-1.04,37.08,60.8,4.7
220,Barrow,0,AR,1528420997,63,-38.31,-60.23,41.12,11.86
221,Myitkyina,92,MM,1528422151,100,25.38,97.4,74.53,2.73
222,Southbridge,75,US,1528419360,72,42.08,-72.03,64.4,9.17
223,Teseney,56,ER,1528422151,46,15.11,36.66,76.87,8.77
224,Kodiak,1,US,1528419180,69,39.95,-94.76,82.4,4.7
225,Hithadhoo,8,MV,1528421234,100,-0.6,73.08,82.7,12.97
226,Kapaa,75,US,1528419360,83,22.08,-159.32,78.8,12.75
227,Kruisfontein,80,ZA,1528421310,95,-34.0,24.73,62.81,13.87
228,Arraial do Cabo,75,BR,1528416000,88,-22.97,-42.02,69.8,4.7
229,Georgetown,0,GY,1528419600,94,6.8,-58.16,77.0,4.7
230,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
231,Busselton,92,AU,1528421242,100,-33.64,115.35,56.42,4.7
232,Nikolskoye,40,RU,1528419600,75,59.7,30.79,46.4,11.18
233,Jamestown,92,AU,1528421264,47,-33.21,138.6,58.67,7.49
234,Cape Town,80,ZA,1528421069,100,-33.93,18.42,57.68,6.04
235,Vila Franca do Campo,20,PT,1528421400,67,37.72,-25.43,62.6,9.17
236,Mitsamiouli,20,KM,1528419600,69,-11.38,43.28,77.0,13.69
237,Kruisfontein,80,ZA,1528421310,95,-34.0,24.73,62.81,13.87
238,Hermanus,76,ZA,1528421239,95,-34.42,19.24,48.68,2.57
239,Edd,80,ER,1528422155,57,13.93,41.69,79.84,2.51
240,Boca do Acre,0,BR,1528422156,94,-8.76,-67.39,69.49,3.06
241,Vila Velha,40,BR,1528419600,88,-3.71,-38.6,78.8,5.82
242,Hobyo,32,SO,1528422145,77,5.35,48.53,77.32,16.26
243,Barrow,0,AR,1528420997,63,-38.31,-60.23,41.12,11.86
244,Hamilton,40,CA,1528419600,59,43.26,-79.87,69.8,5.82
245,Vaini,92,IN,1528421258,99,15.34,74.49,70.37,3.69
246,Nanortalik,36,GL,1528422129,97,60.14,-45.24,34.84,5.41
247,Hobart,40,AU,1528419600,44,-42.88,147.33,60.8,25.28
248,Pangnirtung,0,CA,1528421384,91,66.15,-65.72,25.91,3.91
249,Labuhan,24,ID,1528421287,90,-2.54,115.51,77.39,2.91
250,Albany,20,US,1528419300,60,42.65,-73.75,69.8,5.82
251,Busselton,92,AU,1528421242,100,-33.64,115.35,56.42,4.7
252,Puerto Ayora,20,EC,1528416000,61,-0.74,-90.35,77.0,16.11
253,Mar del Plata,92,AR,1528422159,100,-46.43,-67.52,36.82,13.02
254,Omboue,24,GA,1528422159,100,-1.57,9.26,76.69,10.33
255,Atuona,0,PF,1528421285,100,-9.8,-139.03,80.27,10.51
256,High Level,90,CA,1528421460,82,58.52,-117.13,55.4,8.05
257,Ondjiva,0,AO,1528422160,44,-17.07,15.73,47.53,10.78
258,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
259,Port Macquarie,64,AU,1528419600,77,-31.43,152.91,62.6,5.82
260,Antofagasta,40,CL,1528419600,76,-23.65,-70.4,55.4,2.24
261,Tiksi,8,RU,1528421071,91,71.64,128.87,41.3,3.69
262,Puerto Ayora,20,EC,1528416000,61,-0.74,-90.35,77.0,16.11
263,Codrington,80,AU,1528421342,98,-28.95,153.24,60.92,3.24
264,Havoysund,92,NO,1528422163,95,71.0,24.66,38.71,16.6
265,Kpandae,20,GH,1528422163,84,8.46,-0.01,79.39,7.76
266,Quatre Cocos,40,MU,1528419600,78,-20.21,57.76,75.2,11.41
267,Mar del Plata,92,AR,1528422159,100,-46.43,-67.52,36.82,13.02
268,Nome,1,US,1528419300,66,30.04,-94.42,84.2,5.82
269,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
270,Hithadhoo,8,MV,1528421234,100,-0.6,73.08,82.7,12.97
271,Dali,88,CN,1528422165,78,25.6,100.24,69.13,0.83
272,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
273,Georgetown,0,GY,1528419600,94,6.8,-58.16,77.0,4.7
274,Tanout,0,NE,1528422140,30,14.97,8.88,73.0,3.51
275,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
276,Kaitangata,0,NZ,1528421237,92,-46.28,169.85,41.39,5.59
277,Vila Franca do Campo,20,PT,1528421400,67,37.72,-25.43,62.6,9.17
278,Vaini,92,IN,1528421258,99,15.34,74.49,70.37,3.69
279,Los Llanos de Aridane,0,ES,1528419600,77,28.66,-17.92,68.0,11.41
280,Cape Town,80,ZA,1528421069,100,-33.93,18.42,57.68,6.04
281,Mataura,12,NZ,1528421240,100,-46.19,168.86,40.67,4.7
282,Novoagansk,0,RU,1528422199,40,61.94,76.66,77.23,10.11
283,Souillac,0,FR,1528419600,93,45.6,-0.6,60.8,2.24
284,Provideniya,75,RU,1528419600,80,64.42,-173.23,41.0,8.95
285,Saint George,0,GR,1528419000,82,39.45,22.34,68.0,4.7
286,Hobart,40,AU,1528419600,44,-42.88,147.33,60.8,25.28
287,Kreuztal,76,DE,1528420800,93,50.96,7.99,64.4,3.36
288,Kodiak,1,US,1528419180,69,39.95,-94.76,82.4,4.7
289,Lasa,0,CY,1528419600,60,34.92,32.53,73.4,4.25
290,Matagami,0,NG,1528422170,91,9.67,8.4,64.54,2.73
291,Port Elizabeth,1,US,1528419360,77,39.31,-74.98,69.8,3.36
292,Albany,20,US,1528419300,60,42.65,-73.75,69.8,5.82
293,Punta Arenas,90,CL,1528419600,69,-53.16,-70.91,39.2,12.75
294,Yulara,90,AU,1528419600,19,-25.24,130.99,68.0,8.05
295,Busselton,92,AU,1528421242,100,-33.64,115.35,56.42,4.7
296,Isangel,90,VU,1528416000,94,-19.55,169.27,69.8,2.24
297,Tiksi,8,RU,1528421071,91,71.64,128.87,41.3,3.69
298,Agadez,0,NE,1528422171,28,16.97,7.99,74.17,3.18
299,Albany,20,US,1528419300,60,42.65,-73.75,69.8,5.82
300,Flinders,0,AU,1528416000,93,-34.58,150.85,53.6,5.97
301,Bambous Virieux,40,MU,1528419600,78,-20.34,57.76,75.2,11.41
302,Busselton,92,AU,1528421242,100,-33.64,115.35,56.42,4.7
303,Sao Joao da Barra,24,BR,1528421358,100,-21.64,-41.05,72.44,8.72
304,Westport,8,IE,1528421020,93,53.8,-9.52,56.96,5.48
305,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
306,Puerto Ayora,20,EC,1528416000,61,-0.74,-90.35,77.0,16.11
307,Fortuna,0,ES,1528419600,88,38.18,-1.13,64.4,2.24
308,Vaini,92,IN,1528421258,99,15.34,74.49,70.37,3.69
309,Victoria,90,BN,1528417800,94,5.28,115.24,82.4,3.36
310,Peque,92,CO,1528422174,92,7.02,-75.91,66.7,1.39
311,Cape Town,80,ZA,1528421069,100,-33.93,18.42,57.68,6.04
312,Airai,8,TL,1528421238,80,-8.93,125.41,71.18,2.13
313,Tiksi,8,RU,1528421071,91,71.64,128.87,41.3,3.69
314,Kirkwall,92,GB,1528420800,81,58.98,-2.96,50.0,4.7
315,Port Alfred,80,ZA,1528421321,100,-33.59,26.89,64.34,11.86
316,Te Anau,0,NZ,1528421274,97,-45.41,167.72,38.24,3.36
317,Port Alfred,80,ZA,1528421321,100,-33.59,26.89,64.34,11.86
318,New Norfolk,40,AU,1528419600,44,-42.78,147.06,60.8,25.28
319,Lompoc,20,US,1528419480,63,34.64,-120.46,66.2,17.22
320,Bluff,24,AU,1528421241,64,-23.58,149.07,67.67,12.64
321,Tuatapere,12,NZ,1528422177,100,-46.13,167.69,44.83,4.18
322,Faanui,68,PF,1528421072,100,-16.48,-151.75,81.08,11.41
323,Albany,20,US,1528419300,60,42.65,-73.75,69.8,5.82
324,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
325,Souillac,0,FR,1528419600,93,45.6,-0.6,60.8,2.24
326,Cidreira,0,BR,1528422128,78,-30.17,-50.22,50.68,16.6
327,Bluff,24,AU,1528421241,64,-23.58,149.07,67.67,12.64
328,La Rioja,0,AR,1528422179,87,-29.41,-66.86,43.39,4.07
329,Barrow,0,AR,1528420997,63,-38.31,-60.23,41.12,11.86
330,Bethel,90,US,1528419180,76,60.79,-161.76,50.0,8.05
331,Colares,75,PT,1528421400,100,38.8,-9.45,62.6,6.93
332,Palauig,80,PH,1528422180,100,15.44,119.9,78.94,4.97
333,Hermanus,76,ZA,1528421239,95,-34.42,19.24,48.68,2.57
334,Jardim,0,BR,1528422181,91,-21.48,-56.15,46.63,4.52
335,Bluff,24,AU,1528421241,64,-23.58,149.07,67.67,12.64
336,Lebu,76,ET,1528421265,96,8.96,38.73,50.93,2.8
337,Mehamn,92,NO,1528421332,98,71.03,27.85,38.15,17.78
338,Tuktoyaktuk,75,CA,1528419600,100,69.44,-133.03,37.4,12.75
339,Mount Gambier,100,AU,1528421349,99,-37.83,140.78,53.45,4.7
340,Gondal,40,IN,1528419600,79,21.96,70.8,84.2,11.41
341,Dwarka,40,IN,1528417800,56,28.58,77.04,93.2,8.05
342,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
343,Beterou,68,BJ,1528422183,97,9.2,2.26,75.43,7.31
344,Barrow,0,AR,1528420997,63,-38.31,-60.23,41.12,11.86
345,Chokurdakh,36,RU,1528421057,100,70.62,147.9,33.83,14.99
346,Nantucket,1,US,1528420500,87,41.28,-70.1,55.4,6.93
347,Cape Town,80,ZA,1528421069,100,-33.93,18.42,57.68,6.04
348,Mahebourg,40,MU,1528419600,78,-20.41,57.7,75.2,11.41
349,Atuona,0,PF,1528421285,100,-9.8,-139.03,80.27,10.51
350,Hasaki,75,JP,1528417800,73,35.73,140.83,77.0,10.29
351,Hermanus,76,ZA,1528421239,95,-34.42,19.24,48.68,2.57
352,Luderitz,20,NA,1528421088,69,-26.65,15.16,56.87,1.23
353,Mataura,12,NZ,1528421240,100,-46.19,168.86,40.67,4.7
354,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
355,Saint George,0,GR,1528419000,82,39.45,22.34,68.0,4.7
356,Simav,0,TR,1528422185,87,39.09,28.98,51.22,2.28
357,Cayenne,92,GF,1528419600,100,4.94,-52.33,77.0,4.7
358,Tasiilaq,92,GL,1528419000,93,65.61,-37.64,35.6,10.29
359,El Tigre,48,VE,1528422087,76,8.89,-64.25,77.05,13.47
360,Cabo San Lucas,40,MX,1528419000,42,22.89,-109.91,91.4,16.11
361,Port Lincoln,92,AU,1528422016,100,-34.72,135.86,60.49,9.89
362,Mandalgovi,92,MN,1528422145,36,45.76,106.27,67.96,6.42
363,Talakan,80,RU,1528422187,77,50.29,130.28,56.53,5.86
364,Atuona,0,PF,1528421285,100,-9.8,-139.03,80.27,10.51
365,Saint-Philippe,75,CA,1528420500,63,45.36,-73.48,64.4,8.05
366,Fortuna,0,ES,1528419600,88,38.18,-1.13,64.4,2.24
367,Harper,1,US,1528420500,31,30.3,-99.24,91.4,6.93
368,Trincomalee,88,LK,1528422189,85,8.58,81.23,80.29,18.72
369,Ponta do Sol,20,BR,1528422189,87,-20.63,-46.0,57.34,4.97
370,Butaritari,48,KI,1528421270,100,3.07,172.79,84.68,5.93
371,Avarua,75,CK,1528419600,78,-21.21,-159.78,80.6,8.05
372,Castro,88,CL,1528421054,95,-42.48,-73.76,48.77,13.65
373,Vardo,1,US,1528420500,53,39.62,-77.74,73.4,3.36
